Name,Dialog,Topic
Baljeet,It seems too heavy for an airlift. Perhaps if we had two trucks attached side by side...,Infodumping
Baljeet,Oh no! I knew I should not have forsaken the rigid beauty of my candy-colored schedule!,Infodumping
Baljeet,"What is not to like? It has what every kid loves: rocking back-and-forth, and slowness.",Philosophy
Baljeet,...the particles will bounce up into lunar orbit! Blue skies on the moon! Imagine that!,Science / Inventions
Baljeet,"You know, you can not solve every problem with your muscles. Sometimes you need brains.",Philosophy
Baljeet,Aaah! But it is true! The Earth has moved away from the sun and now the summer is gone!,Science / Inventions
Baljeet,"Uh, we could build a device to concentrate sunlight and dry the doonkelberry instantly.",Science / Inventions
Baljeet,How can I sit tight? With that air conditioner up there freezing me! (Teeth chattering) So cold. So cold.,Infodumping
Baljeet,"Actually, I joined the Empire by accident. I was trying to sign up for a physics camp.",School
Baljeet,Yipeeeeee! Last day of summer means first day of schooool! Ha-ha ha! (realizes the disproving looks on everyone else) I mean boooooo...,School
Baljeet,"Huh. Did you say ""Wind-Con""? The largest annual international wind-themed convention?!",Infodumping
Baljeet,The answer is yes! But we will need to rig a power cable because the battery is fried.,Science / Inventions
Baljeet,"First, I do not like fried pickles. And secondly, you can never change my perspective.",Food
Baljeet,I am watching Perry the Platypus. I promised to not take my eyes out off him all day.,Relationships
Baljeet,"Oh, that. My Uncle Kamal is doing an exotic cuisine float in the parade, and I'm the…",Food
Baljeet,"Oh, here we go again. He's going to tell the story of when he was abducted by aliens.",Infodumping
Baljeet,"If it is okay with you, I have prepared a little presentation to illustrate my point. (opens up laptop)",Infodumping
Baljeet,Yes. And we need to do it quickly. The time loops are accelerating exponentially and—,Science / Inventions
Baljeet,Hop on! The mole people startle easily. But they will be back and in greater numbers.,Infodumping
Baljeet,I can't do it! I just do not know how to rock! (emotionally) I know I am going to get a bad grade!,School
Baljeet,"Oh, it is hopeless. I am never going to get my special mistletoe Christmas kiss. (Gets a wedgie from Buford) Ah!",Relationships
Baljeet,"(looking at papers in his hands) Well, empirically speaking, the test results show almost unanimous approval ratings!",Science / Inventions
Baljeet,"Ah, no matter. Personally, I never cared about winning. I just wanted a good grade.",School
Baljeet,"Buford was supposed to take over half an hour ago, but I can not find him anywhere!",Relationships
Baljeet,We should monitor the conditions in the upper atmosphere. I have a weather balloon.,Science / Inventions
"Baljeet ""(cont'd)",...we are in for a moderate cold front that shows absolutely no signs of subsiding.,Infodumping
Baljeet,"Yes. It is not as if society has crumbled, Buford. The phone networks are still up.",Relationships
Baljeet,And a little extra yeast in the baguette will increase our overall maneuverability.,Infodumping
Baljeet,This is usually the part of the day when pitch us building your bread bowl hot tub.,Relationships
Baljeet,"(over a shot of various foods placed on a bookshelf) Those are not knick-knacks! They are food, and they should be in the refrigerator!",Food
Baljeet,There it is. Danville Mountain. My quest lies ahead of me like an unpeeled potato.,Food
Baljeet,Look at this! (he shows a X-ray of a brain) This is my brain during the school year... (He then shows the other X-ray) And this is my brain now!,School
Baljeet,They appear to have been domesticated. They have no squirrel skills. Check it out.,Infodumping
Baljeet,"Got them! 34 degrees, 10 minutes, 15 seconds north. 15 minutes, zero seconds west.",Science / Inventions
Baljeet,Whoo! Opportunity! We can carpe our own diem! (unrolls a blueprint) How about Radical Barbarian Battles?,Philosophy
Baljeet,"Huh. Deception aside, my confidence is at an all-time high. Exterra fears nothing! (yelps)",Infodumping
Baljeet,All this waiting is maddening. Maybe we should put some more growth elixir on it?,Science / Inventions
Baljeet,"(Everybody looks at him) It's curry. It's not inherently evil. Maybe a little spicy. (The Gelatin Monster roars) Okay, I'm going home.",Food
Baljeet,"I feel a minor disturbance in the universe, almost as if... (A toilet flushes, and Clive Addison walks out of the stall) Nope! Now it is gone.",Science / Inventions
Baljeet,We just launched them towards the park. Buford is there with the other platypult.,Relationships
Baljeet,Only a few more seconds to my greatest triumph! I wonder what I will do tomorrow.,Philosophy
Baljeet,"Oddly enough, I feel the same. But I am not worried about making choices anymore.",Philosophy
Baljeet,Are you telling me that we have never made an obstacle course this entire summer?,School
Baljeet,"Buford, the table looks great, but there is one thing that would make it perfect. (He produces Buford's cupid costume from behind his back.)",Relationships
Baljeet,"Aside from the hack storytelling, they're just a sea of sepia tone and spittoons.",Philosophy
Baljeet,"Due to unresolved contract negotiations, Stumbleberry Finkbat has been cancelled!",Infodumping
Baljeet,"(looks away from Ginger) In a minute. (Turns around) So to continue, the figure eight and... (Notices Ginger has disappeared) Awwww, annnnnd we are back.",Infodumping
Baljeet,"Of course, this is the one time an object has not disappeared from the backyard!",Science / Inventions
Baljeet,"You know, I can see these vines are just painted ropes. How can I act with this?",Infodumping
Baljeet,"Oh, I am not Baljeet. I am the scariest thing known to man, a failed math test.",School
Baljeet,"To truly understand my predicament, I feel it will be best expressed in a song. (Claps hands twice)",Philosophy
Baljeet,"Oh, Buford. (Buford gives Baljeet a tennis ball and a black marker.) Perhaps this will buy us a little time. Frozen waffle, please. (Buford gives him a frozen waffle with a bite mark out of it.) Ugh.",Food
Baljeet,"No, it means...NO!! It means all life is going to be wiped out on both planets!",Philosophy
Baljeet,Which part? The unicorn or Officer Concord the Juice Time Juice Box Flavor Cop?,Infodumping
Dr. Baljeet,That is great. And I think I figured out how to get this giant ant going again.,Science / Inventions
Baljeet,We are guys. We do not talk about feelings. (Buford shrugs in agreement) Did you see the new car Irving got?,Relationships
Baljeet,A beam came down from that balloon and hit your mom right before she vaporized!,Science / Inventions
Baljeet,Something is interfering with the friction of the wheel! We are losing control!,Science / Inventions
Baljeet,"And Ferb. Wait, this is gonna sound crazy, but what if we combined our efforts?",Phineas and Ferb
Baljeet,"The girls are still gaining! Failure is not an option for me, my husky friend.",Relationships
Baljeet,"Here is our table, Mishti. Is this okay with you? It is not too drafty, is it?",Relationships
Baljeet,Funny how things worked out so that everyone pretty much got what they wanted.,Philosophy
Baljeet,"Okay, everyone! Here is how you play: You hold your top...and then...you SPIN!",Infodumping
Baljeet,"Oh, look who's sensitive! Besides, Buford could have brought the marshmallows.",Food
Baljeet,"(He wheels in a large crate with a tarp over it) Everyone, please stand back! Keep your fingers, and berets away from the bars.",Infodumping
Baljeet,"Oh. I mean, it's, uh, it's totally gotten so commercialized now. It's so lame.",Infodumping
Baljeet,We are not fish-leaping distance within any body of water. How is that nature?,Philosophy
Baljeet,"Ooh, I have a mystical, magical act I would like to perform. It's stupefying!",Philosophy
Baljeet,Never! The line must be drawn here! (gets up and shines a flashlight beside Phineas) Right between Phineas and his loved ones.,Relationships
Baljeet,"Ooh, please be careful. I still need your help at the science fair tomorrow.",Science / Inventions
Baljeet,"(Hung upside down by Buford) No, No, Buford! Please do not drop me I-- (Buford lets go) Oh! Oooh, well this is not so bad.",Relationships
Baljeet,"Where are you getting your information from, disembodied reggae space voice?",Infodumping
Baljeet,"No gadgets, no gimmicks, just pure achievement! It will be great! Let us go! (begins running up the mountain)",Image
Baljeet,"I hope you have got your carry on stowed, because we are ready for take-off.",Infodumping
Baljeet,"Oh, sweet. I am going down there. (He comes down from the castle) Okay, here I am. What have you got for me?",Relationships
Baljeet,"If Buford is now the brains of this operation, my life has lost all meaning!",Relationships
Baljeet,Are those the stolen Death Star plans we are not supposed to be looking for?,Science / Inventions
Baljeet,"Huh, maybe satisfaction should be rated by someone less picky. Respectfully?",Philosophy
Baljeet,What you have found is a one-way magic carpet ride to your own destruction.,Infodumping
Baljeet,I will call my family and tell them to start putting up the shame curtains.,Image
Baljeet,(After rolling dice against Buford) Haha! That gives me a five points weapon skills advantage. You lose an arm!,Relationships
Baljeet,"But if we do the mind swap here, those criminals will still be out of jail.",Infodumping
Baljeet,"(From the Castle) In case you are wondering, the word you are looking for is, 'impenetrable'.",Philosophy
Baljeet,What mysteries does it contain? (gasps) Perhaps dozens of stray Schrödinger's cats?,Philosophy
Baljeet,"Oh, my goodness, is this Candace's bed? How did you get it down the stairs?",Relationships
Baljeet,You are going to waste a whole day promoting aglets? Who is going to care?,Philosophy
Baljeet,Hey! I believe my Uncle Sabu lives not far from here! Perhaps he can help!,Relationships
Baljeet,"Look, everyone! It is Officer Concord the Juice Time Juice Box Flavor Cop!",Food
Baljeet,It is almost like Tadashi Kawamata's massive chair sculpture in Abu Dhabi.,Infodumping
Baljeet,"You are kidding, right? You do know she had a giant crush on you for ages.",Relationships
Baljeet,Perhaps the real treasure is true friendship and the spirit of adventure.,Relationships
Baljeet,Come see The Flying Fishmongers jump McGregor's Gorge! Tell your friends!,Relationships
Baljeet,What luck! Pizzazzium Infinionite! That science prize is as good as mine!,Science / Inventions
Baljeet,"Yes. All you need is the first part, and then you will have a whole joke.",Relationships
Baljeet,"(stops playing) Perhaps in hindsight, we should not have made our submarine out of FOOD!!",Food
Baljeet,Why is he wearing a tuxedo? It looks like he should be on a wedding cake.,Infodumping
Baljeet,"(showing a diagram) Genetically speaking, they fall somewhere between parrots and chameleons.",Science / Inventions
Isabella and Baljeet,"And now, for your in-flight entertainment; The Paper Pelican Floor Show!",Relationships
Baljeet,"So, it turned out that the invasion was all just a big misunderstanding.",Science / Inventions
